Ende Ablesezeitraum;Messintervall;Abrechnungsmaßeinheit;Verbrauch
2019-01-01T00:15+01:00;QH;KWH;0,01283
2019-01-01T00:30+01:00;QH;KWH;0,01071
2019-01-01T00:45+01:00;QH;KWH;0,03641
2019-01-01T01:00+01:00;QH;KWH;0,03980
2019-01-01T01:15+01:00;QH;KWH;0,02662
2019-01-01T01:30+01:00;QH;KWH;0,01219
2019-01-01T01:45+01:00;QH;KWH;0,03400
2019-01-01T02:00+01:00;QH;KWH;0,03268
2019-01-01T02:15+01:00;QH;KWH;0,01260
2019-01-01T02:30+01:00;QH;KWH;0,00874
2019-01-01T02:45+01:00;QH;KWH;0,01138
2019-01-01T03:00+01:00;QH;KWH;0,01040
2019-01-01T03:15+01:00;QH;KWH;0,01939
2019-01-01T03:30+01:00;QH;KWH;0,02394
2019-01-01T03:45+01:00;QH;KWH;0,02362
2019-01-01T04:00+01:00;QH;KWH;0,01451
2019-01-01T04:15+01:00;QH;KWH;0,11395
2019-01-01T04:30+01:00;QH;KWH;0,07056
2019-01-01T04:45+01:00;QH;KWH;0,03062
2019-01-01T05:00+01:00;QH;KWH;0,04280
2019-01-01T05:15+01:00;QH;KWH;0,04424
2019-01-01T05:30+01:00;QH;KWH;0,04898
2019-01-01T05:45+01:00;QH;KWH;0,03386
2019-01-01T06:00+01:00;QH;KWH;0,06658
2019-01-01T06:15+01:00;QH;KWH;0,05301
2019-01-01T06:30+01:00;QH;KWH;0,05186
2019-01-01T06:45+01:00;QH;KWH;0,01871
2019-01-01T07:00+01:00;QH;KWH;0,03848
2019-01-01T07:15+01:00;QH;KWH;0,02840
2019-01-01T07:30+01:00;QH;KWH;0,03352
2019-01-01T07:45+01:00;QH;KWH;0,01342
2019-01-01T08:00+01:00;QH;KWH;0,04826
2019-01-01T08:15+01:00;QH;KWH;0,03882
2019-01-01T08:30+01:00;QH;KWH;0,03114
2019-01-01T08:45+01:00;QH;KWH;0,02313
2019-01-01T09:00+01:00;QH;KWH;0,02081
2019-01-01T09:15+01:00;QH;KWH;0,03737
2019-01-01T09:30+01:00;QH;KWH;0,01314
2019-01-01T09:45+01:00;QH;KWH;0,04066
2019-01-01T10:00+01:00;QH;KWH;0,03473
2019-01-01T10:15+01:00;QH;KWH;0,01929
2019-01-01T10:30+01:00;QH;KWH;0,04918
2019-01-01T10:45+01:00;QH;KWH;0,03777
2019-01-01T11:00+01:00;QH;KWH;0,01047
2019-01-01T11:15+01:00;QH;KWH;0,01458
2019-01-01T11:30+01:00;QH;KWH;0,03025
2019-01-01T11:45+01:00;QH;KWH;0,02837
2019-01-01T12:00+01:00;QH;KWH;0,08534
2019-01-01T12:15+01:00;QH;KWH;0,02136
2019-01-01T12:30+01:00;QH;KWH;0,08890
2019-01-01T12:45+01:00;QH;KWH;0,06340
2019-01-01T13:00+01:00;QH;KWH;0,08027
2019-01-01T13:15+01:00;QH;KWH;0,04973
2019-01-01T13:30+01:00;QH;KWH;0,09971
2019-01-01T13:45+01:00;QH;KWH;0,06075
2019-01-01T14:00+01:00;QH;KWH;0,01503
2019-01-01T14:15+01:00;QH;KWH;0,01153
2019-01-01T14:30+01:00;QH;KWH;0,05691
2019-01-01T14:45+01:00;QH;KWH;0,08106
2019-01-01T15:00+01:00;QH;KWH;0,01602
2019-01-01T15:15+01:00;QH;KWH;0,08229
2019-01-01T15:30+01:00;QH;KWH;0,08023
2019-01-01T15:45+01:00;QH;KWH;0,05461
2019-01-01T16:00+01:00;QH;KWH;0,02965
2019-01-01T16:15+01:00;QH;KWH;0,12553
2019-01-01T16:30+01:00;QH;KWH;0,04320
2019-01-01T16:45+01:00;QH;KWH;0,09296
2019-01-01T17:00+01:00;QH;KWH;0,03651
2019-01-01T17:15+01:00;QH;KWH;0,05929
2019-01-01T17:30+01:00;QH;KWH;0,06342
2019-01-01T17:45+01:00;QH;KWH;0,06378
2019-01-01T18:00+01:00;QH;KWH;0,04175
2019-01-01T18:15+01:00;QH;KWH;0,12086
2019-01-01T18:30+01:00;QH;KWH;0,14899
2019-01-01T18:45+01:00;QH;KWH;0,09879
2019-01-01T19:00+01:00;QH;KWH;0,05112
2019-01-01T19:15+01:00;QH;KWH;0,04921
2019-01-01T19:30+01:00;QH;KWH;0,06877
2019-01-01T19:45+01:00;QH;KWH;0,07369
2019-01-01T20:00+01:00;QH;KWH;0,03969
2019-01-01T20:15+01:00;QH;KWH;0,07113
2019-01-01T20:30+01:00;QH;KWH;0,05304
2019-01-01T20:45+01:00;QH;KWH;0,02534
2019-01-01T21:00+01:00;QH;KWH;0,05824
2019-01-01T21:15+01:00;QH;KWH;0,04074
2019-01-01T21:30+01:00;QH;KWH;0,04193
2019-01-01T21:45+01:00;QH;KWH;0,06451
2019-01-01T22:00+01:00;QH;KWH;0,07189
2019-01-01T22:15+01:00;QH;KWH;0,05549
2019-01-01T22:30+01:00;QH;KWH;0,01667
2019-01-01T22:45+01:00;QH;KWH;0,03153
2019-01-01T23:00+01:00;QH;KWH;0,02199
2019-01-01T23:15+01:00;QH;KWH;0,03641
2019-01-01T23:30+01:00;QH;KWH;0,05357
2019-01-01T23:45+01:00;QH;KWH;0,04054
2019-01-02T00:00+01:00;QH;KWH;0,01407
2019-01-02T00:15+01:00;QH;KWH;0,01076
2019-01-02T00:30+01:00;QH;KWH;0,00469
2019-01-02T00:45+01:00;QH;KWH;0,01656
2019-01-02T01:00+01:00;QH;KWH;0,02892
2019-01-02T01:15+01:00;QH;KWH;0,02079
2019-01-02T01:30+01:00;QH;KWH;0,02883
